z=16cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=18cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=20cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k
"6,7",32.08571429,51.7,214.418,156.661 ,214.331,3.69181622,0.020143225,"6,7",32.08571429,51.7,212.67,156.766,212.638,2.23975713,0.012266534,"6,7",32.08571429,51.7,212.19,156.644,212.142,2.742063457,0.015040358
"7,7",35.9,51.7,214.238,156.661 ,214.143,3.857822572,0.021057827,"7,7",35.9,51.7,212.447,156.766,212.396,2.827554774,0.015493866,"7,7",35.9,51.7,212.121,156.644,212.068,2.881342048,0.015806878
"8,7",39.71428571,51.7,214.076,156.661 ,214.005,3.335105845,0.018211478,"8,7",39.71428571,51.7,212.275,156.766,212.229,2.685374462,0.014720735,"8,7",39.71428571,51.7,212.037,156.644,212.005,2.238885437,0.01228483
"9,7",43.52857143,51.7,213.865,156.661 ,213.821,2.625468339,0.014343544,"9,7",43.52857143,51.7,212.115,156.766,212.083,2.23975713,0.012282571,"9,7",43.52857143,51.7,212.938,156.644,212.905,2.273598909,0.012448883
"0,8",9.2,56.64285714,214.372 ,156.022 ,214.329 ,2.590163315,0.014162835,"0,8",9.2,56.64285714,212.213,156.245,212.194,1.722978526,0.009462171,"0,8",9.2,56.64285714,212.324,156.335,212.321,0.684839397,0.003758903
"1,8",13.01428571,56.64285714,214.310 ,156.022 ,214.271 ,2.466750494,0.013489973,"1,8",13.01428571,56.64285714,212.208,156.245,212.183,1.976391915,0.010853983,"1,8",13.01428571,56.64285714,212.212,156.335,212.198,1.479422185,0.0081223
"2,8",16.82857143,56.64285714,214.185 ,156.022 ,214.134 ,2.82083711,0.015430875,"2,8",16.82857143,56.64285714,212.466,156.245,212.437,2.128639237,0.011682997,"2,8",16.82857143,56.64285714,212.07,156.335,212.05,1.76824772,0.009711255
"3,8",20.64285714,56.64285714,214.145 ,156.022 ,214.086 ,3.034023401,0.016598622,"3,8",20.64285714,56.64285714,212.436,156.245,212.402,2.304849236,0.012651016,"3,8",20.64285714,56.64285714,212.145,156.335,212.124,1.811914733,0.009949317
"4,8",24.45714286,56.64285714,214.084 ,156.022 ,214.001 ,3.598586667,0.019690056,"4,8",24.45714286,56.64285714,212.434,156.245,212.375,3.03619087,0.016665333,"4,8",24.45714286,56.64285714,212.096,156.335,212.071,1.976961052,0.010856848
"5,8",28.27142857,56.64285714,213.963 ,156.022 ,213.872 ,3.76802362,0.020622977,"5,8",28.27142857,56.64285714,212.443,156.245,212.379,3.162227063,0.017356765,"5,8",28.27142857,56.64285714,212.114,156.335,212.083,2.201450658,0.012089162
"6,8",32.08571429,56.64285714,213.862 ,156.022 ,213.762 ,3.949962025,0.021623858,"6,8",32.08571429,56.64285714,212.356,156.245,212.298,3.010350478,0.016526532,"6,8",32.08571429,56.64285714,212.174,156.335,212.141,2.271355322,0.012471276
"7,8",35.9,56.64285714,213.789 ,156.022 ,213.713 ,3.44349706,0.018854461,"7,8",35.9,56.64285714,212.23,156.245,212.189,2.531016594,0.01389916,"7,8",35.9,56.64285714,211.924,156.335,211.885,2.469223562,0.013565701
"8,8",39.71428571,56.64285714,213.621 ,156.022 ,213.553 ,3.257222129,0.017841546,"8,8",39.71428571,56.64285714,212.06,156.245,212.019,2.531016594,0.01390473,"8,8",39.71428571,56.64285714,211.928,156.335,211.895,2.271355322,0.012478512
"9,8",43.52857143,56.64285714,213.546 ,156.022 ,213.500 ,2.678994588,0.014676861,"9,8",43.52857143,56.64285714,212.146,156.245,212.112,2.304849236,0.01265966,"9,8",43.52857143,56.64285714,211.95,156.335,211.93,1.76824772,0.009714004
"0,9",9.2,61.58571429,213.878 ,156.649 ,213.824 ,2.908443914,0.015889631,"0,9",9.2,61.58571429,212.27,155.999,212.239,2.199083673,0.012084718,"0,9",9.2,61.58571429,211.714,156.133,211.696,1.676422978,0.009220648
"1,9",13.01428571,61.58571429,213.791 ,156.649 ,213.740 ,2.826499425,0.015445088,"1,9",13.01428571,61.58571429,212.078,155.999,212.048,2.163323832,0.011893586,"1,9",13.01428571,61.58571429,211.681,156.133,211.66,1.81074377,0.009960215
"2,9",16.82857143,61.58571429,213.627 ,156.649 ,213.569 ,3.014239871,0.016477295,"2,9",16.82857143,61.58571429,212.023,155.999,211.985,2.434740643,0.013387525,"2,9",16.82857143,61.58571429,211.635,156.133,211.615,1.767104977,0.009721231
"3,9",20.64285714,61.58571429,213.612 ,156.649 ,213.539 ,3.381623427,0.018486241,"3,9",20.64285714,61.58571429,212.034,155.999,211.993,2.529023329,0.013905582,"3,9",20.64285714,61.58571429,211.686,156.133,211.661,1.975683426,0.010867357
"4,9",24.45714286,61.58571429,213.622 ,156.649 ,213.537 ,3.648995067,0.019947408,"4,9",24.45714286,61.58571429,212.022,155.999,211.983,2.466568669,0.013562565,"4,9",24.45714286,61.58571429,211.7,156.133,211.671,2.127876171,0.011704115
"5,9",28.27142857,61.58571429,213.627 ,156.649 ,213.531 ,3.877925218,0.021198618,"5,9",28.27142857,61.58571429,211.963,155.999,211.908,2.929154315,0.01610836,"5,9",28.27142857,61.58571429,211.672,156.133,211.641,2.200027954,0.012101777
"6,9",32.08571429,61.58571429,213.628 ,156.649 ,213.550 ,3.495514554,0.019108131,"6,9",32.08571429,61.58571429,211.888,155.999,211.845,2.589972394,0.01424561,"6,9",32.08571429,61.58571429,211.579,156.133,211.545,2.304023003,0.012676611
"7,9",35.9,61.58571429,213.579 ,156.649 ,213.527 ,2.854075682,0.015603513,"7,9",35.9,61.58571429,211.817,155.999,211.781,2.369802523,0.013036795,"7,9",35.9,61.58571429,211.544,156.133,211.511,2.269887442,0.012489832
"8,9",39.71428571,61.58571429,213.519 ,156.649 ,213.485 ,2.307827117,0.012618891,"8,9",39.71428571,61.58571429,211.79,155.999,211.752,2.434740643,0.013394888,"8,9",39.71428571,61.58571429,211.528,156.133,211.5,2.090866806,0.011505224
"9,9",43.52857143,61.58571429,213.630 ,156.649 ,213.608 ,1.856415363,0.010147994,"9,9",43.52857143,61.58571429,211.801,155.999,211.778,1.894195608,0.010420773,"9,9",43.52857143,61.58571429,211.571,156.133,211.55,1.81074377,0.009962804
